start_at,symbol,period,open,high,low,close
1574985600,ETHUSD,1,151.02,151.02,150.68,150.69
1574985660,ETHUSD,1,150.69,150.7,150.69,150.7
1574985720,ETHUSD,1,150.7,150.71,150.68,150.69
1574985780,ETHUSD,1,150.69,150.73,150.69,150.73
1574985840,ETHUSD,1,150.73,150.84,150.73,150.84
1574985900,ETHUSD,1,150.84,151.24,150.84,151.21
1574985960,ETHUSD,1,151.21,151.22,151.21,151.22
1574986020,ETHUSD,1,151.22,151.78,151.22,151.67
1574986080,ETHUSD,1,151.67,151.7,151.66,151.67
1574986140,ETHUSD,1,151.67,151.76,151.52,151.52
1574986200,ETHUSD,1,151.52,151.58,151.44,151.49
1574986260,ETHUSD,1,151.49,151.49,151.44,151.45
1574986320,ETHUSD,1,151.45,151.49,151.45,151.49
1574986380,ETHUSD,1,151.49,151.6,151.49,151.6
1574986440,ETHUSD,1,151.6,151.61,151.6,151.61
1574986500,ETHUSD,1,151.61,151.76,151.61,151.76
1574986560,ETHUSD,1,151.76,151.81,151.76,151.8
1574986620,ETHUSD,1,151.8,151.8,151.68,151.68
1574986680,ETHUSD,1,151.68,151.68,151.68,151.68
1574986740,ETHUSD,1,151.68,151.68,151.65,151.65
1574986800,ETHUSD,1,151.65,151.65,151.08,151.08
1574986860,ETHUSD,1,151.08,151.28,151.08,151.28
1574986920,ETHUSD,1,151.28,151.28,151.26,151.26
1574986980,ETHUSD,1,151.26,151.29,151.26,151.26
1574987040,ETHUSD,1,151.26,151.29,151.19,151.26
1574987100,ETHUSD,1,151.26,151.32,151.26,151.32
1574987160,ETHUSD,1,151.32,151.32,151.32,151.32
1574987220,ETHUSD,1,151.32,151.75,151.32,151.57
1574987280,ETHUSD,1,151.57,151.57,151.53,151.53
1574987340,ETHUSD,1,151.53,151.74,151.53,151.69
1574987400,ETHUSD,1,151.69,151.87,151.69,151.78
1574987460,ETHUSD,1,151.78,151.85,151.72,151.85
1574987520,ETHUSD,1,151.85,151.98,151.85,151.98
1574987580,ETHUSD,1,151.98,152.14,151.98,152.14
1574987640,ETHUSD,1,152.14,152.26,152.14,152.25
1574987700,ETHUSD,1,152.25,152.25,152.23,152.23
1574987760,ETHUSD,1,152.23,152.23,152.23,152.23
1574987820,ETHUSD,1,152.23,152.23,152.15,152.17
1574987880,ETHUSD,1,152.17,152.17,152.17,152.17
1574987940,ETHUSD,1,152.17,152.47,152.17,152.47
1574988000,ETHUSD,1,152.47,153.05,152.43,152.83
1574988060,ETHUSD,1,152.83,152.83,152.5,152.5
1574988120,ETHUSD,1,152.5,152.58,152.5,152.58
1574988180,ETHUSD,1,152.58,152.91,152.58,152.86
1574988240,ETHUSD,1,152.86,152.86,152.85,152.85
1574988300,ETHUSD,1,152.85,152.86,152.85,152.86
1574988360,ETHUSD,1,152.86,152.86,152.56,152.56
