start_at,symbol,period,open,high,low,close
1654214400,LTCUSD,1,64.43,64.45,64.38,64.45
1654214460,LTCUSD,1,64.45,64.46,64.43,64.44
1654214520,LTCUSD,1,64.44,64.45,64.33,64.35
1654214580,LTCUSD,1,64.35,64.36,64.28,64.33
1654214640,LTCUSD,1,64.33,64.36,64.29,64.34
1654214700,LTCUSD,1,64.34,64.44,64.34,64.44
1654214760,LTCUSD,1,64.44,64.44,64.39,64.41
1654214820,LTCUSD,1,64.41,64.46,64.38,64.41
1654214880,LTCUSD,1,64.41,64.47,64.4,64.41
1654214940,LTCUSD,1,64.41,64.42,64.3,64.31
1654215000,LTCUSD,1,64.31,64.36,64.3,64.33
1654215060,LTCUSD,1,64.33,64.37,64.33,64.35
1654215120,LTCUSD,1,64.35,64.38,64.35,64.36
1654215180,LTCUSD,1,64.36,64.36,64.3,64.34
1654215240,LTCUSD,1,64.34,64.43,64.34,64.43
1654215300,LTCUSD,1,64.43,64.43,64.27,64.3
1654215360,LTCUSD,1,64.3,64.33,64.25,64.25
1654215420,LTCUSD,1,64.25,64.32,64.25,64.28
1654215480,LTCUSD,1,64.28,64.33,64.28,64.33
1654215540,LTCUSD,1,64.33,64.45,64.31,64.45
1654215600,LTCUSD,1,64.45,64.49,64.44,64.47
1654215660,LTCUSD,1,64.47,64.51,64.44,64.44
1654215720,LTCUSD,1,64.44,64.5,64.43,64.49
1654215780,LTCUSD,1,64.49,64.54,64.45,64.53
1654215840,LTCUSD,1,64.53,64.54,64.47,64.48
1654215900,LTCUSD,1,64.48,64.5,64.44,64.45
1654215960,LTCUSD,1,64.45,64.45,64.34,64.34
1654216020,LTCUSD,1,64.34,64.34,64.24,64.25
1654216080,LTCUSD,1,64.25,64.4,64.25,64.4
1654216140,LTCUSD,1,64.4,64.43,64.39,64.43
1654216200,LTCUSD,1,64.43,64.45,64.36,64.44
1654216260,LTCUSD,1,64.44,64.52,64.44,64.48
1654216320,LTCUSD,1,64.48,64.51,64.46,64.49
1654216380,LTCUSD,1,64.49,64.49,64.43,64.44
1654216440,LTCUSD,1,64.44,64.44,64.36,64.36
1654216500,LTCUSD,1,64.36,64.4,64.35,64.39
1654216560,LTCUSD,1,64.39,64.39,64.34,64.35
1654216620,LTCUSD,1,64.35,64.37,64.18,64.21
1654216680,LTCUSD,1,64.21,64.25,64.2,64.25
1654216740,LTCUSD,1,64.25,64.25,64.14,64.14
1654216800,LTCUSD,1,64.14,64.22,64.1,64.2
1654216860,LTCUSD,1,64.2,64.21,64.15,64.15
1654216920,LTCUSD,1,64.15,64.15,64.05,64.12
1654216980,LTCUSD,1,64.12,64.12,64.07,64.1
1654217040,LTCUSD,1,64.1,64.1,64.06,64.09
1654217100,LTCUSD,1,64.09,64.1,64.02,64.1
1654217160,LTCUSD,1,64.1,64.13,64.03,64.12
1654217220,LTCUSD,1,64.12,64.12,64.06,64.12
1654217280,LTCUSD,1,64.12,64.13,64.1,64.12
1654217340,LTCUSD,1,64.12,64.12,64.08,64.1
1654217400,LTCUSD,1,64.1,64.13,64.08,64.1
1654217460,LTCUSD,1,64.1,64.13,64.09,64.1
1654217520,LTCUSD,1,64.1,64.13,64.09,64.13
1654217580,LTCUSD,1,64.13,64.15,64.11,64.15
1654217640,LTCUSD,1,64.15,64.2,64.14,64.15
1654217700,LTCUSD,1,64.15,64.17,64.08,64.08
1654217760,LTCUSD,1,64.08,64.12,64.08,64.1
1654217820,LTCUSD,1,64.1,64.13,64.08,64.09
1654217880,LTCUSD,1,64.09,64.12,64.05,64.08
1654217940,LTCUSD,1,64.08,64.11,64.06,64.06
1654218000,LTCUSD,1,64.06,64.13,64.06,64.1
1654218060,LTCUSD,1,64.1,64.2,64.04,64.18
1654218120,LTCUSD,1,64.18,64.2,64.15,64.17
1654218180,LTCUSD,1,64.17,64.2,64.16,64.2
1654218240,LTCUSD,1,64.2,64.23,64.19,64.23
