start_at,symbol,period,open,high,low,close
1650412800,LUNAUSD,1,95.5,95.57,95.47,95.52
1650412860,LUNAUSD,1,95.52,95.55,95.37,95.37
1650412920,LUNAUSD,1,95.37,95.38,95.2,95.2
1650412980,LUNAUSD,1,95.2,95.24,95.15,95.16
1650413040,LUNAUSD,1,95.16,95.25,95.13,95.23
1650413100,LUNAUSD,1,95.23,95.39,95.19,95.36
1650413160,LUNAUSD,1,95.36,95.37,95.22,95.27
1650413220,LUNAUSD,1,95.27,95.33,95.23,95.3
1650413280,LUNAUSD,1,95.3,95.49,95.28,95.49
1650413340,LUNAUSD,1,95.49,95.57,95.48,95.52
1650413400,LUNAUSD,1,95.52,95.8,95.52,95.76
1650413460,LUNAUSD,1,95.76,95.76,95.63,95.73
1650413520,LUNAUSD,1,95.73,95.74,95.62,95.62
1650413580,LUNAUSD,1,95.62,95.78,95.61,95.76
1650413640,LUNAUSD,1,95.76,95.85,95.72,95.73
1650413700,LUNAUSD,1,95.73,95.74,95.62,95.65
1650413760,LUNAUSD,1,95.65,95.69,95.62,95.63
1650413820,LUNAUSD,1,95.63,95.63,95.44,95.44
1650413880,LUNAUSD,1,95.44,95.55,95.39,95.4
1650413940,LUNAUSD,1,95.4,95.42,95.25,95.26
1650414000,LUNAUSD,1,95.26,95.26,95.06,95.1
1650414060,LUNAUSD,1,95.1,95.11,94.98,95.05
1650414120,LUNAUSD,1,95.05,95.05,94.83,94.92
1650414180,LUNAUSD,1,94.92,94.94,94.74,94.79
1650414240,LUNAUSD,1,94.79,95.02,94.79,94.98
1650414300,LUNAUSD,1,94.98,95.0,94.47,94.51
1650414360,LUNAUSD,1,94.51,94.56,94.25,94.29
1650414420,LUNAUSD,1,94.29,94.51,94.24,94.51
1650414480,LUNAUSD,1,94.51,94.59,94.38,94.38
1650414540,LUNAUSD,1,94.38,94.39,94.22,94.22
1650414600,LUNAUSD,1,94.22,94.49,94.22,94.48
1650414660,LUNAUSD,1,94.48,94.49,94.4,94.42
1650414720,LUNAUSD,1,94.42,94.47,94.41,94.41
1650414780,LUNAUSD,1,94.41,94.42,94.38,94.41
1650414840,LUNAUSD,1,94.41,94.44,94.4,94.41
1650414900,LUNAUSD,1,94.41,94.46,94.28,94.28
1650414960,LUNAUSD,1,94.28,94.4,94.27,94.34
1650415020,LUNAUSD,1,94.34,94.55,94.34,94.51
1650415080,LUNAUSD,1,94.51,94.52,94.43,94.44
1650415140,LUNAUSD,1,94.44,94.45,94.3,94.33
1650415200,LUNAUSD,1,94.33,94.35,94.31,94.33
1650415260,LUNAUSD,1,94.33,94.42,94.33,94.36
1650415320,LUNAUSD,1,94.36,94.36,94.28,94.29
1650415380,LUNAUSD,1,94.29,94.37,94.29,94.37
1650415440,LUNAUSD,1,94.37,94.44,94.37,94.44
1650415500,LUNAUSD,1,94.44,94.44,94.41,94.44
1650415560,LUNAUSD,1,94.44,94.44,94.3,94.33
1650415620,LUNAUSD,1,94.33,94.56,94.33,94.55
1650415680,LUNAUSD,1,94.55,94.55,94.4,94.42
1650415740,LUNAUSD,1,94.42,94.43,94.41,94.42
1650415800,LUNAUSD,1,94.42,94.47,94.42,94.45
1650415860,LUNAUSD,1,94.45,94.46,94.32,94.32
1650415920,LUNAUSD,1,94.32,94.33,94.27,94.29
1650415980,LUNAUSD,1,94.29,94.36,94.28,94.29
1650416040,LUNAUSD,1,94.29,94.36,94.26,94.27
1650416100,LUNAUSD,1,94.27,94.27,93.88,93.97
1650416160,LUNAUSD,1,93.97,94.07,93.85,93.87
1650416220,LUNAUSD,1,93.87,93.97,93.86,93.9
1650416280,LUNAUSD,1,93.9,93.97,93.9,93.92
1650416340,LUNAUSD,1,93.92,93.92,93.82,93.82
1650416400,LUNAUSD,1,93.82,93.99,93.78,93.99
1650416460,LUNAUSD,1,93.99,94.13,93.98,94.12
1650416520,LUNAUSD,1,94.12,94.12,93.95,93.95
1650416580,LUNAUSD,1,93.95,93.95,93.84,93.92
1650416640,LUNAUSD,1,93.92,93.93,93.86,93.93
1650416700,LUNAUSD,1,93.93,93.94,93.91,93.94
1650416760,LUNAUSD,1,93.94,93.98,93.92,93.97
1650416820,LUNAUSD,1,93.97,94.04,93.97,94.04
1650416880,LUNAUSD,1,94.04,94.12,94.03,94.12
1650416940,LUNAUSD,1,94.12,94.12,94.01,94.02
1650417000,LUNAUSD,1,94.02,94.08,94.01,94.08
1650417060,LUNAUSD,1,94.08,94.08,93.62,93.62
1650417120,LUNAUSD,1,93.62,93.69,93.55,93.66
1650417180,LUNAUSD,1,93.66,93.77,93.66,93.7
